Guideline,Section,Topic,Control identifier,Control description
Guidelines for Communications Systems,Telephone systems,Off-hook audio protection,0236,Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.
Guidelines for Communications Systems,Telephone systems,Off-hook audio protection,0931,"In SECRET and TOP SECRET areas, push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing and Internet Protocol telephony infrastructure hardening,1562,Video conferencing and IP telephony infrastructure is hardened.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video-aware and voice-aware firewalls and proxies,0546,"When video conferencing or IP telephony traffic passes through a gateway containing a firewall or proxy, a video-aware or voice-aware firewall or proxy is used."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,0548,Video conferencing and IP telephony calls are established using a secure session initiation protocol.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,0547,Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,0554,An encrypted and non-replayable two-way authentication scheme is used for call authentication and authorisation.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,0553,"Authentication and authorisation is used for all actions on a video conferencing network, including call setup and changing settings."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,0555,"Authentication and authorisation is used for all actions on an IP telephony network, including registering a new IP phone, changing phone users, changing settings and accessing voicemail."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,0551,"IP telephony is configured such that:
• IP phones authenticate themselves to the call controller upon registration
• auto-registration is disabled and only authorised devices are allowed to access the network
• unauthorised devices are blocked by default
• all unused and prohibited functionality is disabled."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Traffic separation,0549,Video conferencing and IP telephony traffic is separated physically or logically from other data traffic.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Traffic separation,0556,"Workstations are not connected to video conferencing units or IP phones unless the workstation or the device uses Virtual Local Area Networks or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Internet Protocol phones in public areas,0558,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Microphones and webcams,0559,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Microphones and webcams,1450,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Denial of service response plan,1019,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained."
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Denial of service response plan,1805,"A denial of service response plan for video conferencing and IP telephony services contains the following:
• how to identify signs of a denial-of-service attack
• how to identify the source of a denial-of-service attack
• how capabilities can be maintained during a denial-of-service attack
• what actions can be taken to respond to a denial-of-service attack."
Guidelines for Communications Systems,Fax machines and multifunction devices,Fax machine and multifunction device usage policy,0588,"A fax machine and MFD usage policy is developed, implemented and maintained."
Guidelines for Communications Systems,Fax machines and multifunction devices,Sending fax messages,1092,Separate fax machines or MFDs are used for sending sensitive or classified fax messages and all other fax messages.
Guidelines for Communications Systems,Fax machines and multifunction devices,Sending fax messages,0241,"When sending fax messages, the fax message is encrypted to an appropriate level to be communicated over unsecured telecommunications infrastructure."
Guidelines for Communications Systems,Fax machines and multifunction devices,Receiving fax messages,1075,The sender of a fax message makes arrangements for the receiver to collect the fax message as soon as possible after it is sent and for the receiver to notify the sender if the fax message does not arrive in an agreed amount of time.
Guidelines for Communications Systems,Fax machines and multifunction devices,Connecting multifunction devices to networks,0590,Controls for MFDs connected to networks are of a similar strength to those for other devices on networks.
Guidelines for Communications Systems,Fax machines and multifunction devices,Connecting multifunction devices to both networks and digital telephone systems,0245,A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected.
Guidelines for Communications Systems,Fax machines and multifunction devices,Copying documents on multifunction devices,0589,MFDs connected to networks are not used to copy documents above the sensitivity or classification of connected networks.
Guidelines for Communications Systems,Fax machines and multifunction devices,Observing fax machine and multifunction device use,1036,Fax machines and MFDs are located in areas where their use can be observed.
Guidelines for Enterprise Mobility,Mobile device management,Mobile device management policy,1533,"A mobile device management policy is developed, implemented and maintained."
Guidelines for Enterprise Mobility,Mobile device management,Mobile device management policy,1195,A Mobile Device Management solution is used to ensure mobile device management policy is applied to all mobile devices.
Guidelines for Enterprise Mobility,Mobile device management,Privately-owned mobile devices,1297,Legal advice is sought prior to allowing privately-owned mobile devices to access systems or data.
Guidelines for Enterprise Mobility,Mobile device management,Privately-owned mobile devices,1400,"Personnel accessing OFFICIAL and PROTECTED systems or data using a privately-owned mobile device use an ASD-approved platform, a security configuration in accordance with ACSC guidance, and have enforced separation of work and personal data."
Guidelines for Enterprise Mobility,Mobile device management,Organisation-owned mobile devices,1482,"Personnel accessing systems or data using an organisation-owned mobile device use an ASD-approved platform, a security configuration in accordance with ACSC guidance, and have enforced separation of work and personal data."
Guidelines for Enterprise Mobility,Mobile device management,Storage encryption,0869,Mobile devices encrypt their internal storage and any removable media.
Guidelines for Enterprise Mobility,Mobile device management,Communications encryption,1085,Mobile devices encrypt all sensitive or classified data communicated over public network infrastructure.
Guidelines for Enterprise Mobility,Mobile device management,Bluetooth functionality,1196,OFFICIAL and PROTECTED mobile devices are configured to remain undiscoverable to other Bluetooth devices except during Bluetooth pairing.
Guidelines for Enterprise Mobility,Mobile device management,Bluetooth functionality,1200,"Bluetooth pairing for OFFICIAL and PROTECTED mobile devices is performed using Secure Connections, preferably with Numeric Comparison if supported."
Guidelines for Enterprise Mobility,Mobile device management,Bluetooth functionality,1198,Bluetooth pairing for OFFICIAL and PROTECTED mobile devices is performed in a manner such that connections are only made between intended Bluetooth devices.
Guidelines for Enterprise Mobility,Mobile device management,Bluetooth functionality,1199,Bluetooth pairings for OFFICIAL and PROTECTED mobile devices are removed when there is no longer a requirement for their use.
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,0863,Mobile devices prevent personnel from installing or uninstalling non-approved applications once provisioned.
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,0864,Mobile devices prevent personnel from disabling or modifying security functionality once provisioned.
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,1366,Security updates are applied to mobile devices as soon as they become available.
Guidelines for Enterprise Mobility,Mobile device management,Connecting mobile devices to the internet,0874,Mobile devices access the internet via a VPN connection to an organisation’s internet gateway rather than via a direct connection to the internet.
Guidelines for Enterprise Mobility,Mobile device management,Connecting mobile devices to the internet,0705,"When accessing an organisation’s network via a VPN connection, split tunnelling is disabled."
Guidelines for Enterprise Mobility,Mobile device usage,Mobile device usage policy,1082,"A mobile device usage policy is developed, implemented and maintained."
Guidelines for Enterprise Mobility,Mobile device usage,Personnel awareness,1083,Personnel are advised of the sensitivity or classification permitted for voice and data communications when using mobile devices.
Guidelines for Enterprise Mobility,Mobile device usage,"Paging, message services and messaging apps",0240,"Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data."
Guidelines for Enterprise Mobility,Mobile device usage,Using mobile devices in public spaces,0866,Sensitive or classified data is not viewed or communicated in public locations unless care is taken to reduce the chance of the screen of a mobile device being observed.
Guidelines for Enterprise Mobility,Mobile device usage,Using mobile devices in public spaces,1644,Sensitive or classified phone calls are not conducted in public locations unless care is taken to reduce the chance of conversations being overheard.
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,0871,Mobile devices are kept under continual direct supervision when being actively used.
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,0870,Mobile devices are carried or stored in a secured state when not being actively used.
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,1084,"If unable to carry or store mobile devices in a secured state, they are physically transferred in a security briefcase or an approved multi-use satchel, pouch or transit bag."
Guidelines for Enterprise Mobility,Mobile device usage,Mobile device emergency sanitisation processes and procedures,0701,"Mobile device emergency sanitisation processes, and supporting mobile device emergency sanitisation procedures, are developed, implemented and maintained."
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,1298,Personnel are advised of privacy and security risks when travelling overseas with mobile devices.
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,1554,"If travelling overseas with mobile devices to high or extreme risk countries, personnel are:
• issued with newly provisioned accounts, mobile devices and removable media from a pool of dedicated travel devices which are used solely for work-related activities
• advised on how to apply and inspect tamper seals to key areas of mobile devices
• advised to avoid taking any personal mobile devices, especially if rooted or jailbroken."
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,1555,"Before travelling overseas with mobile devices, personnel take the following actions:
• record all details of the mobile devices being taken, such as product types, serial numbers and International Mobile Equipment Identity numbers
• update all operating systems and applications
• remove all non-essential accounts, applications and data
• apply security configuration settings, such as lock screens
• configure remote locate and wipe functionality
• enable encryption, including for any removable media
• backup all important data and configuration settings."
Guidelines for Enterprise Mobility,Mobile device usage,While travelling overseas with mobile devices,1299,"Personnel take the following precautions when travelling overseas with mobile devices:
• never leaving mobile devices or removable media unattended for any period of time, including by placing them in checked-in luggage or leaving them in hotel safes
• never storing credentials with mobile devices that they grant access to, such as in laptop bags
• never lending mobile devices or removable media to untrusted people, even if briefly
• never allowing untrusted people to connect their mobile devices or removable media, including for charging
• never using designated charging stations, wall outlet charging ports or chargers supplied by untrusted people
• avoiding connecting mobile devices to open or untrusted Wi-Fi networks
• using a VPN connection to encrypt all mobile device communications
• using encrypted messaging apps for communications instead of using foreign telecommunication networks
• disabling any communications capabilities of mobile devices when not in use, such as cellular data, wireless, Bluetooth and Near Field Communication
• avoiding reuse of removable media once used with other parties’ systems or mobile devices
• ensuring any removable media used for data transfers are thoroughly checked for malicious code beforehand
• never using any gifted mobile devices, especially removable media, when travelling or upon returning from travelling."
Guidelines for Enterprise Mobility,Mobile device usage,While travelling overseas with mobile devices,1088,"Personnel report the potential compromise of mobile devices, removable media or credentials to their organisation as soon as possible, especially if they:
• provide credentials to foreign government officials
• decrypt mobile devices for foreign government officials
• have mobile devices taken out of sight by foreign government officials
• have mobile devices or removable media stolen that are later returned
• lose mobile devices or removable media that are later found
• observe unusual behaviour of mobile devices."
Guidelines for Enterprise Mobility,Mobile device usage,After travelling overseas with mobile devices,1300,"Upon returning from travelling overseas with mobile devices, personnel take the following actions:
• sanitise and reset mobile devices, including all removable media
• decommission any credentials that left their possession during their travel
• report if significant doubt exists as to the integrity of any mobile devices or removable media."
Guidelines for Enterprise Mobility,Mobile device usage,After travelling overseas with mobile devices,1556,"If returning from travelling overseas with mobile devices to high or extreme risk countries, personnel take the following additional actions:
• reset credentials used with mobile devices, including those used for remote access to their organisation’s systems
• monitor accounts for any indicators of compromise, such as failed logon attempts."
Guidelines for Evaluated Products,Evaluated product procurement,Evaluated product selection,0280,"If procuring an evaluated product, a product that has completed a PP-based evaluation, including against all applicable PP modules, is selected in preference to one that has completed an EAL-based evaluation."
Guidelines for Evaluated Products,Evaluated product procurement,Delivery of evaluated products,0285,Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.
Guidelines for Evaluated Products,Evaluated product usage,Installation and configuration of evaluated products,0289,"Evaluated products are installed, configured, administered and operated in accordance with vendor guidance and evaluation documentation."
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment management policy,1551,"An ICT equipment management policy is developed, implemented and maintained."
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment register,0336,"An ICT equipment register is developed, implemented, maintained and verified on a regular basis."
Guidelines for ICT Equipment,ICT equipment usage,Labelling ICT equipment,0294,"ICT equipment, with the exception of high assurance ICT equipment, is labelled with protective markings reflecting its sensitivity or classification."
Guidelines for ICT Equipment,ICT equipment usage,Classifying ICT equipment,0293,"ICT equipment is classified based on the highest sensitivity or classification of data that it is approved for processing, storing or communicating."
Guidelines for ICT Equipment,ICT equipment usage,Handling ICT equipment,1599,ICT equipment is handled in a manner suitable for its sensitivity or classification.
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,0305,Maintenance and repairs of ICT equipment is carried out on site by an appropriately cleared technician.
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,0307,"If an uncleared technician is used to undertake maintenance or repairs of ICT equipment, the ICT equipment and associated media is sanitised before maintenance or repair work is undertaken."
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,0306,"If an uncleared technician is used to undertake maintenance or repairs of ICT equipment, the technician is escorted by someone who:
• is appropriately cleared and briefed
• takes due care to ensure that data is not disclosed
• takes all responsible measures to ensure the integrity of the ICT equipment
• has the authority to direct the technician
• is sufficiently familiar with the ICT equipment to understand the work being performed."
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,Off-site maintenance and repairs,0310,ICT equipment maintained or repaired off site is done so at facilities approved for handling the sensitivity or classification of the ICT equipment.
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,Inspection of ICT equipment following maintenance and repairs,1598,"Following maintenance or repair activities for ICT equipment, the ICT equipment is inspected to confirm it retains its approved software configuration and that no unauthorised modifications have taken place."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,ICT equipment sanitisation processes and procedures,0313,"ICT equipment sanitisation processes, and supporting ICT equipment sanitisation procedures, are developed, implemented and maintained."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,ICT equipment destruction processes and procedures,1741,"ICT equipment destruction processes, and supporting ICT equipment destruction procedures, are developed, implemented and maintained."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising ICT equipment,0311,ICT equipment containing media is sanitised by removing the media from the ICT equipment or by sanitising the media in situ.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising ICT equipment,1742,ICT equipment that cannot be sanitised is destroyed.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,0317,At least three pages of random text with no blank areas are printed on each colour printer cartridge or MFD print drum.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,1219,MFD print drums and image transfer rollers are inspected and destroyed if there is remnant toner which cannot be removed or a print is visible on the image transfer roller.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,1220,Printer and MFD platens are inspected and destroyed if any text or images are retained on the platen.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,1221,Printers and MFDs are checked to ensure no pages are trapped in the paper path due to a paper jam.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,0318,"When unable to sanitise printer cartridges or MFD print drums, they are destroyed as per electrostatic memory devices."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,1534,Printer ribbons in printers and MFDs are removed and destroyed.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising televisions and computer monitors,1076,Televisions and computer monitors with minor burn-in or image persistence are sanitised by displaying a solid white image on the screen for an extended period of time.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising televisions and computer monitors,1222,Televisions and computer monitors that cannot be sanitised are destroyed.
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising network devices,1223,"Memory in network devices is sanitised using the following processes, in order of preference:
• following device-specific guidance provided in evaluation documentation
• following vendor sanitisation guidance
• loading a dummy configuration file, performing a factory reset and then reinstalling firmware."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising fax machines,1225,"The paper tray of the fax machine is removed, and a fax message with a minimum length of four pages is transmitted, before the paper tray is re-installed to allow a fax summary page to be printed."
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising fax machines,1226,Fax machines are checked to ensure no pages are trapped in the paper path due to a paper jam.
Guidelines for ICT Equipment,ICT equipment disposal,ICT equipment disposal processes and procedures,1550,"ICT equipment disposal processes, and supporting ICT equipment disposal procedures, are developed, implemented and maintained."
Guidelines for ICT Equipment,ICT equipment disposal,Disposal of ICT equipment,1217,"Labels and markings indicating the owner, sensitivity, classification or any other marking that can associate ICT equipment with its prior use are removed prior to its disposal."
Guidelines for ICT Equipment,ICT equipment disposal,Disposal of ICT equipment,0316,"Following sanitisation, destruction or declassification, a formal administrative decision is made to release ICT equipment, or its waste, into the public domain."
Guidelines for Media,Media usage,Media management policy,1549,"A media management policy is developed, implemented and maintained."
Guidelines for Media,Media usage,Removable media usage policy,1359,"A removable media usage policy is developed, implemented and maintained."
Guidelines for Media,Media usage,Removable media register,1713,"A removable media register is developed, implemented, maintained and verified on a regular basis."
Guidelines for Media,Media usage,Labelling media,0332,"Media, with the exception of internally mounted fixed media within ICT equipment, is labelled with protective markings reflecting its sensitivity or classification."
Guidelines for Media,Media usage,Classifying media,0323,"Media is classified to the highest sensitivity or classification of data it stores, unless the media has been classified to a higher sensitivity or classification."
Guidelines for Media,Media usage,Classifying media,0337,"Media is only used with systems that are authorised to process, store or communicate its sensitivity or classification."
Guidelines for Media,Media usage,Reclassifying media,0325,"Any media connected to a system with a higher sensitivity or classification than the media is reclassified to the higher sensitivity or classification, unless the media is read-only or the system has a mechanism through which read-only access can be ensured."
Guidelines for Media,Media usage,Reclassifying media,0330,"Before reclassifying media to a lower sensitivity or classification, the media is sanitised or destroyed, and a formal administrative decision is made to reclassify it."
Guidelines for Media,Media usage,Handling media,0831,Media is handled in a manner suitable for its sensitivity or classification.
Guidelines for Media,Media usage,Handling media,1059,All data stored on media is encrypted.
Guidelines for Media,Media usage,Sanitising media before first use,1600,Media is sanitised before it is used for the first time.
Guidelines for Media,Media usage,Sanitising media before first use,1642,Media is sanitised before it is reused in a different security domain.
Guidelines for Media,Media usage,Using media for data transfers,0347,"When transferring data manually between two systems belonging to different security domains, write-once media is used unless the destination system has a mechanism through which read-only access can be ensured."
Guidelines for Media,Media usage,Using media for data transfers,0947,"When transferring data manually between two systems belonging to different security domains, rewritable media is sanitised after each data transfer."
Guidelines for Media,Media sanitisation,Media sanitisation processes and procedures,0348,"Media sanitisation processes, and supporting media sanitisation procedures, are developed, implemented and maintained."
Guidelines for Media,Media sanitisation,Volatile media sanitisation,0351,Volatile media is sanitised by removing its power for at least 10 minutes.
Guidelines for Media,Media sanitisation,Non-volatile magnetic media sanitisation,0354,Non-volatile magnetic media is sanitised by overwriting it at least once (or three times if pre-2001 or under 15 GB) in its entirety with a random pattern followed by a read back for verification.
Guidelines for Media,Media sanitisation,Non-volatile magnetic media sanitisation,1065,The host-protected area and device configuration overlay table are reset prior to the sanitisation of non-volatile magnetic hard drives.
Guidelines for Media,Media sanitisation,Non-volatile magnetic media sanitisation,1067,"The ATA secure erase command is used, in addition to block overwriting software, to ensure the growth defects table of non-volatile magnetic hard drives is overwritten."
Guidelines for Media,Media sanitisation,Non-volatile erasable programmable read-only memory media sanitisation,0357,Non-volatile EPROM media is sanitised by applying three times the manufacturer’s specified ultraviolet erasure time and then overwriting it at least once in its entirety with a random pattern followed by a read back for verification.
Guidelines for Media,Media sanitisation,Non-volatile electrically erasable programmable read-only memory media sanitisation,0836,Non-volatile EEPROM media is sanitised by overwriting it at least once in its entirety with a random pattern followed by a read back for verification.
Guidelines for Media,Media sanitisation,Non-volatile flash memory media sanitisation,0359,Non-volatile flash memory media is sanitised by overwriting it at least twice in its entirety with a random pattern followed by a read back for verification.
Guidelines for Media,Media sanitisation,Media that cannot be successfully sanitised,1735,Faulty or damaged media that cannot be successfully sanitised is destroyed prior to its disposal.
Guidelines for Media,Media destruction,Media destruction processes and procedures,0363,"Media destruction processes, and supporting media destruction procedures, are developed, implemented and maintained."
Guidelines for Media,Media destruction,Media that cannot be sanitised,0350,"The following media types are destroyed prior to their disposal:
• microfiche and microfilm
• optical discs
• programmable read-only memory
• read-only memory
• other types of media that cannot be sanitised."
Guidelines for Media,Media destruction,Media destruction equipment,1361,Security Construction and Equipment Committee-approved equipment or ASIO-approved equipment is used when destroying media.
Guidelines for Media,Media destruction,Media destruction equipment,1160,"If using degaussers to destroy media, degaussers evaluated by the United States’ National Security Agency are used."
Guidelines for Media,Media destruction,Media destruction methods,1517,"Equipment that is capable of reducing microform to a fine powder, with resultant particles not showing more than five consecutive characters per particle upon microscopic inspection, is used to destroy microfiche and microfilm."
Guidelines for Media,Media destruction,Media destruction methods,1722,"Electrostatic memory devices are destroyed using a furnace/incinerator, hammer mill, disintegrator or grinder/sander."
Guidelines for Media,Media destruction,Media destruction methods,1723,"Magnetic floppy disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting."
Guidelines for Media,Media destruction,Media destruction methods,1724,"Magnetic hard disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, grinder/sander or degausser."
Guidelines for Media,Media destruction,Media destruction methods,1725,"Magnetic tapes are destroyed using a furnace/incinerator, hammer mill, disintegrator, degausser or by cutting."
Guidelines for Media,Media destruction,Media destruction methods,1726,"Optical disks are destroyed using a furnace/incinerator, hammer mill, disintegrator, grinder/sander or by cutting."
Guidelines for Media,Media destruction,Media destruction methods,1727,"Semiconductor memory is destroyed using a furnace/incinerator, hammer mill or disintegrator."
Guidelines for Media,Media destruction,Media destruction methods,0368,"Media destroyed using a hammer mill, disintegrator, grinder/sander or by cutting results in media waste particles no larger than 9 mm."
Guidelines for Media,Media destruction,Degaussing magnetic media,0361,Magnetic media is destroyed using a degausser with a suitable magnetic field strength and magnetic orientation.
Guidelines for Media,Media destruction,Degaussing magnetic media,0362,Product-specific directions provided by degausser manufacturers are followed.
Guidelines for Media,Media destruction,Degaussing magnetic media,1641,"Following the use of a degausser, magnetic media is physically damaged by deforming any internal platters."
Guidelines for Media,Media destruction,Supervision of destruction,0370,The destruction of media is performed under the supervision of at least one person cleared to its sensitivity or classification.
Guidelines for Media,Media destruction,Supervision of destruction,0371,Personnel supervising the destruction of media supervise its handling to the point of destruction and ensure that the destruction is completed successfully.
Guidelines for Media,Media destruction,Supervision of accountable material destruction,0372,The destruction of media storing accountable material is performed under the supervision of at least two personnel cleared to its sensitivity or classification.
Guidelines for Media,Media destruction,Supervision of accountable material destruction,0373,"Personnel supervising the destruction of media storing accountable material supervise its handling to the point of destruction, ensure that the destruction is completed successfully and sign a destruction certificate afterwards."
Guidelines for Media,Media destruction,Outsourcing media destruction,0839,The destruction of media storing accountable material is not outsourced.
Guidelines for Media,Media destruction,Outsourcing media destruction,0840,"When outsourcing the destruction of media storing non-accountable material, a National Association for Information Destruction AAA certified destruction service with endorsements, as specified in ASIO’s Protective Security Circular-167, is used."
Guidelines for Media,Media disposal,Media disposal processes and procedures,0374,"Media disposal processes, and supporting media disposal procedures, are developed, implemented and maintained."
Guidelines for Media,Media disposal,Disposal of media,0378,"Labels and markings indicating the owner, sensitivity, classification or any other marking that can associate media with its prior use are removed prior to its disposal."
Guidelines for Media,Media disposal,Disposal of media,0375,"Following sanitisation, destruction or declassification, a formal administrative decision is made to release media, or its waste, into the public domain."
Guidelines for System Hardening,Operating system hardening,Operating system selection,1743,"Operating systems are chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
Guidelines for System Hardening,Operating system hardening,Operating system releases and versions,1407,"The latest release, or the previous release, of operating systems are used."
Guidelines for System Hardening,Operating system hardening,Operating system releases and versions,1408,"Where supported, 64-bit versions of operating systems are used."
Guidelines for System Hardening,Operating system hardening,Standard Operating Environments,1406,SOEs are used for workstations and servers.
Guidelines for System Hardening,Operating system hardening,Standard Operating Environments,1608,SOEs provided by third parties are scanned for malicious code and configurations.
Guidelines for System Hardening,Operating system hardening,Standard Operating Environments,1588,SOEs are reviewed and updated at least annually.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1409,ACSC and vendor guidance is implemented to assist in hardening the configuration of operating systems.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,0380,"Unneeded accounts, components, services and functionality of operating systems are disabled or removed."
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,0383,"Default accounts or credentials for operating systems, including for any pre-configured accounts, are changed."
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,0341,Automatic execution features for removable media are disabled.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1654,Internet Explorer 11 is disabled or removed.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1655,.NET Framework 3.5 (includes .NET 2.0 and 3.0) is disabled or removed.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1492,Operating system exploit protection functionality is enabled.
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1745,"Early Launch Antimalware, Secure Boot, Trusted Boot and Measured Boot functionality is enabled."
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1584,"Unprivileged users are prevented from bypassing, disabling or modifying security functionality of operating systems."
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,1491,"Unprivileged users are prevented from running script execution engines, including:
• Windows Script Host (cscript.exe and wscript.exe)
• PowerShell (powershell.exe, powershell_ise.exe and pwsh.exe)
• Command Prompt (cmd.exe)
• Windows Management Instrumentation (wmic.exe)
• Microsoft Hypertext Markup Language (HTML) Application Host (mshta.exe)."
Guidelines for System Hardening,Operating system hardening,Application management,1592,Unprivileged users do not have the ability to install unapproved software.
Guidelines for System Hardening,Operating system hardening,Application management,0382,Unprivileged users do not have the ability to uninstall or disable approved software.
Guidelines for System Hardening,Operating system hardening,Application control,0843,Application control is implemented on workstations.
Guidelines for System Hardening,Operating system hardening,Application control,1490,Application control is implemented on internet-facing servers.
Guidelines for System Hardening,Operating system hardening,Application control,1656,Application control is implemented on non-internet-facing servers.
Guidelines for System Hardening,Operating system hardening,Application control,1657,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set."
Guidelines for System Hardening,Operating system hardening,Application control,1658,Application control restricts the execution of drivers to an organisation-approved set.
Guidelines for System Hardening,Operating system hardening,Application control,0955,"Application control is implemented using cryptographic hash rules, publisher certificate rules or path rules."
Guidelines for System Hardening,Operating system hardening,Application control,1582,Application control rulesets are validated on an annual or more frequent basis.
Guidelines for System Hardening,Operating system hardening,Application control,1471,"When implementing application control using publisher certificate rules, both publisher names and product names are used."
Guidelines for System Hardening,Operating system hardening,Application control,1392,"When implementing application control using path rules, only approved users can modify approved files and write to approved folders."
Guidelines for System Hardening,Operating system hardening,Application control,1746,"When implementing application control using path rules, only approved users can change file system permissions for approved files and folders."
Guidelines for System Hardening,Operating system hardening,Application control,1544,Microsoft’s ‘recommended block rules’ are implemented.
Guidelines for System Hardening,Operating system hardening,Application control,1659,Microsoft’s ‘recommended driver block rules’ are implemented.
Guidelines for System Hardening,Operating system hardening,Application control,0846,"All users (with the exception of local administrator accounts and break glass accounts) cannot disable, bypass or be exempted from application control."
Guidelines for System Hardening,Operating system hardening,Application control,1660,Allowed and blocked execution events on workstations are logged.
Guidelines for System Hardening,Operating system hardening,Application control,1661,Allowed and blocked execution events on internet-facing servers are logged.
Guidelines for System Hardening,Operating system hardening,Application control,1662,Allowed and blocked execution events on non-internet-facing servers are logged.
Guidelines for System Hardening,Operating system hardening,Application control,1663,Application control event logs are stored centrally.
