instruction,input,output
"In the ACSC ISM, What is control identitifer ISM-1836?",,User accounts require Kerberos pre-authentication.
"In the ACSC ISM, What is control identitifer ISM-1837?",,User accounts are not configured with password never expires or password not required.
"In the ACSC ISM, What is control identitifer ISM-1838?",,The UserPassword attribute for user accounts is not used.
"In the ACSC ISM, What is control identitifer ISM-1839?",,Account properties accessible by unprivileged users are not used to store passwords.
"In the ACSC ISM, What is control identitifer ISM-1840?",,User account passwords do not use reversible encryption.
"In the ACSC ISM, What is control identitifer ISM-1841?",,Unprivileged user accounts cannot add machines to the domain.
"In the ACSC ISM, What is control identitifer ISM-1842?",,Dedicated service accounts are used to add machines to the domain.
"In the ACSC ISM, What is control identitifer ISM-1843?",,"User accounts with unconstrained delegation are reviewed at least annually, and those without an associated Kerberos SPN or demonstrated business requirement are removed."
"In the ACSC ISM, What is control identitifer ISM-1844?",,Computer accounts that are not Microsoft AD SD domain controllers are not trusted for delegation to services.
"In the ACSC ISM, What is control identitifer ISM-1620?",,Privileged user accounts are members of the Protected Users security group.
"In the ACSC ISM, What is control identitifer ISM-1845?",,"When a user account is disabled, it is removed from all security group memberships."
"In the ACSC ISM, What is control identitifer ISM-1846?",,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.
"In the ACSC ISM, What is control identitifer ISM-1546?",,Users are authenticated before they are granted access to a system and its resources.
"In the ACSC ISM, What is control identitifer ISM-1603?",,Authentication methods susceptible to replay attacks are disabled.
"In the ACSC ISM, What is control identitifer ISM-1055?",,LAN Manager and NT LAN Manager authentication methods are disabled.
"In the ACSC ISM, What is control identitifer ISM-0974?",,Multi-factor authentication is used to authenticate unprivileged users of systems.
"In the ACSC ISM, What is control identitifer ISM-1173?",,Multi-factor authentication is used to authenticate privileged users of systems.
"In the ACSC ISM, What is control identitifer ISM-1504?",,Multi-factor authentication is used by an organisation’s users if they authenticate to their organisation’s internet-facing services.
"In the ACSC ISM, What is control identitifer ISM-1679?",,"Multi-factor authentication is used by an organisation’s users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's sensitive data."
"In the ACSC ISM, What is control identitifer ISM-1680?",,"Multi-factor authentication (where available) is used by an organisation’s users if they authenticate to third-party internet-facing services that process, store or communicate their organisation's non-sensitive data."
"In the ACSC ISM, What is control identitifer ISM-1681?",,Multi-factor authentication is enabled by default for non-organisational users (but users can choose to opt out) if they authenticate to an organisation’s internet-facing services.
"In the ACSC ISM, What is control identitifer ISM-1505?",,Multi-factor authentication is used to authenticate users accessing important data repositories.
"In the ACSC ISM, What is control identitifer ISM-1401?",,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are."
"In the ACSC ISM, What is control identitifer ISM-1682?",,Multi-factor authentication is phishing-resistant.
"In the ACSC ISM, What is control identitifer ISM-1559?",,"Memorised secrets used for multi-factor authentication are a minimum of 6 characters, unless more stringent requirements apply."
"In the ACSC ISM, What is control identitifer ISM-1683?",,Successful and unsuccessful multi-factor authentication events are logged.
"In the ACSC ISM, What is control identitifer ISM-1684?",,Multi-factor authentication event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-0417?",,"When systems cannot support multi-factor authentication, single-factor authentication using passphrases is implemented instead."
"In the ACSC ISM, What is control identitifer ISM-0421?",,"Passphrases used for single-factor authentication are at least 4 random words with a total minimum length of 14 characters, unless more stringent requirements apply."
"In the ACSC ISM, What is control identitifer ISM-1558?",,"Passphrases used for single-factor authentication are not a list of categorised words; do not form a real sentence in a natural language; and are not constructed from song lyrics, movies, literature or any other publicly available material."
"In the ACSC ISM, What is control identitifer ISM-1593?",,Users provide sufficient evidence to verify their identity when requesting new credentials.
"In the ACSC ISM, What is control identitifer ISM-1227?",,Credentials set for user accounts are randomly generated.
"In the ACSC ISM, What is control identitifer ISM-1594?",,"Credentials are provided to users via a secure communications channel or, if not possible, split into two parts with one part provided to users and the other part provided to supervisors."
"In the ACSC ISM, What is control identitifer ISM-1595?",,Credentials provided to users are changed on first use.
"In the ACSC ISM, What is control identitifer ISM-1596?",,"Credentials, in the form of memorised secrets, are not reused by users across different systems."
"In the ACSC ISM, What is control identitifer ISM-1685?",,"Credentials for local administrator accounts and service accounts are long, unique, unpredictable and managed."
"In the ACSC ISM, What is control identitifer ISM-1619?",,Service accounts are created as group Managed Service Accounts.
"In the ACSC ISM, What is control identitifer ISM-1795?",,Credentials for local administrator accounts and service accounts are a minimum of 30 characters.
"In the ACSC ISM, What is control identitifer ISM-1590?",,"Credentials are changed if:
• they are directly compromised
• they are suspected of being compromised
• they appear in an online data breach database
• they are discovered stored on networks in the clear
• they are discovered being transferred across networks in the clear
• membership of a shared account changes
• they have not been changed in the past 12 months."
"In the ACSC ISM, What is control identitifer ISM-1847?",,"Credentials for the Kerberos Key Distribution Center’s service account (KRBTGT) are changed twice, allowing for replication to all Microsoft Active Directory Domain Services domain controllers in-between each change, if:
• the domain has been directly compromised
• the domain is suspected of being compromised
• they have not been changed in the past 12 months."
"In the ACSC ISM, What is control identitifer ISM-0418?",,"Credentials are kept separate from systems they are used to authenticate to, except for when performing authentication activities."
"In the ACSC ISM, What is control identitifer ISM-1597?",,Credentials are obscured as they are entered into systems.
"In the ACSC ISM, What is control identitifer ISM-1402?",,"Credentials stored on systems are protected by a password manager; a hardware security module; or by salting, hashing and stretching them before storage within a database."
"In the ACSC ISM, What is control identitifer ISM-1686?",,Windows Defender Credential Guard and Windows Defender Remote Credential Guard are enabled.
"In the ACSC ISM, What is control identitifer ISM-1749?",,Cached credentials are limited to one previous logon.
"In the ACSC ISM, What is control identitifer ISM-1403?",,Accounts are locked out after a maximum of five failed logon attempts.
"In the ACSC ISM, What is control identitifer ISM-0853?",,"On a daily basis, outside of business hours and after an appropriate period of inactivity, user sessions are terminated and workstations are restarted."
"In the ACSC ISM, What is control identitifer ISM-0428?",,"Systems are configured with a session or screen lock that:
• activates after a maximum of 15 minutes of user inactivity, or if manually activated by users
• conceals all session content on the screen
• ensures that the screen does not enter a power saving state before the session or screen lock is activated
• requires users to authenticate to unlock the session
• denies users the ability to disable the session or screen locking mechanism."
"In the ACSC ISM, What is control identitifer ISM-0408?",,Systems have a logon banner that requires users to acknowledge and accept their security responsibilities before access is granted.
"In the ACSC ISM, What is control identitifer ISM-0979?",,Legal advice is sought on the exact wording of logon banners.
"In the ACSC ISM, What is control identitifer ISM-1460?",,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism is from a vendor that has demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products."
"In the ACSC ISM, What is control identitifer ISM-1604?",,"When using a software-based isolation mechanism to share a physical server’s hardware, the configuration of the isolation mechanism is hardened by removing unneeded functionality and restricting access to the administrative interface used to manage the isolation mechanism."
"In the ACSC ISM, What is control identitifer ISM-1605?",,"When using a software-based isolation mechanism to share a physical server’s hardware, the underlying operating system is hardened."
"In the ACSC ISM, What is control identitifer ISM-1606?",,"When using a software-based isolation mechanism to share a physical server’s hardware, patches, updates or vendor mitigations for security vulnerabilities are applied to the isolation mechanism and underlying operating system in a timely manner."
"In the ACSC ISM, What is control identitifer ISM-1848?",,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism or underlying operating system is replaced when it is no longer supported by a vendor."
"In the ACSC ISM, What is control identitifer ISM-1607?",,"When using a software-based isolation mechanism to share a physical server’s hardware, integrity and log monitoring are performed for the isolation mechanism and underlying operating system in a timely manner."
"In the ACSC ISM, What is control identitifer ISM-0042?",,"System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1211?",,"System administrators document requirements for administrative activities, consider potential security impacts, obtain any necessary approvals, notify users of any disruptions or outages, and maintain system and security documentation."
"In the ACSC ISM, What is control identitifer ISM-1380?",,Privileged users use separate privileged and unprivileged operating environments.
"In the ACSC ISM, What is control identitifer ISM-1687?",,Privileged operating environments are not virtualised within unprivileged operating environments.
"In the ACSC ISM, What is control identitifer ISM-1688?",,Unprivileged accounts cannot logon to privileged operating environments.
"In the ACSC ISM, What is control identitifer ISM-1689?",,Privileged accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.
"In the ACSC ISM, What is control identitifer ISM-1385?",,Administrative infrastructure is segregated from the wider network.
"In the ACSC ISM, What is control identitifer ISM-1750?",,"Administrative infrastructure for critical servers, high-value servers and regular servers is segregated from each other."
"In the ACSC ISM, What is control identitifer ISM-1386?",,Network management traffic can only originate from administrative infrastructure.
"In the ACSC ISM, What is control identitifer ISM-1387?",,Administrative activities are conducted through jump servers.
"In the ACSC ISM, What is control identitifer ISM-1381?",,Only privileged operating environments can communicate with jump servers.
"In the ACSC ISM, What is control identitifer ISM-1388?",,Only jump servers can communicate with assets requiring administrative activities to be performed.
"In the ACSC ISM, What is control identitifer ISM-1143?",,"Patch management processes, and supporting patch management procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-0298?",,"A centralised and managed approach that maintains the integrity of patches or updates, and confirms that they have been applied successfully, is used to patch or update applications, operating systems, drivers and firmware."
"In the ACSC ISM, What is control identitifer ISM-1493?",,"Software registers for workstations, servers, network devices and other ICT equipment are developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-1643?",,"Software registers contain versions and patch histories of applications, drivers, operating systems and firmware."
"In the ACSC ISM, What is control identitifer ISM-1807?",,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.
"In the ACSC ISM, What is control identitifer ISM-1808?",,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.
"In the ACSC ISM, What is control identitifer ISM-1698?",,A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in internet-facing services.
"In the ACSC ISM, What is control identitifer ISM-1699?",,"A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products."
"In the ACSC ISM, What is control identitifer ISM-1700?",,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for security vulnerabilities in other applications.
"In the ACSC ISM, What is control identitifer ISM-1701?",,A vulnerability scanner is used at least daily to identify missing patches or updates for security vulnerabilities in operating systems of internet-facing services.
"In the ACSC ISM, What is control identitifer ISM-1702?",,"A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in operating systems of workstations, servers and network devices."
"In the ACSC ISM, What is control identitifer ISM-1752?",,A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in operating systems of other ICT equipment.
"In the ACSC ISM, What is control identitifer ISM-1703?",,A vulnerability scanner is used at least weekly to identify missing patches or updates for security vulnerabilities in drivers and firmware.
"In the ACSC ISM, What is control identitifer ISM-1690?",,"Patches, updates or vendor mitigations for security vulnerabilities in internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1691?",,"Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release."
"In the ACSC ISM, What is control identitifer ISM-1692?",,"Patches, updates or vendor mitigations for security vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1693?",,"Patches, updates or vendor mitigations for security vulnerabilities in other applications are applied within one month of release."
"In the ACSC ISM, What is control identitifer ISM-1694?",,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of internet-facing services are applied within two weeks of release, or within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1695?",,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within two weeks of release."
"In the ACSC ISM, What is control identitifer ISM-1696?",,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of workstations, servers and network devices are applied within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1751?",,"Patches, updates or vendor mitigations for security vulnerabilities in operating systems of other ICT equipment are applied within two weeks of release, or within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1697?",,"Patches, updates or vendor mitigations for security vulnerabilities in drivers and firmware are applied within two weeks of release, or within 48 hours if an exploit exists."
"In the ACSC ISM, What is control identitifer ISM-1704?",,"Internet-facing services, office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
"In the ACSC ISM, What is control identitifer ISM-0304?",,Applications that are no longer supported by vendors are removed.
"In the ACSC ISM, What is control identitifer ISM-1501?",,Operating systems that are no longer supported by vendors are replaced.
"In the ACSC ISM, What is control identitifer ISM-1753?",,Network devices and other ICT equipment that are no longer supported by vendors are replaced.
"In the ACSC ISM, What is control identitifer ISM-1809?",,"When applications, operating systems, network devices or other ICT equipment that are no longer supported by vendors cannot be immediately removed or replaced, compensating controls are implemented until such time that they can be removed or replaced."
"In the ACSC ISM, What is control identitifer ISM-1510?",,"A digital preservation policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1547?",,"Data backup processes, and supporting data backup procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1548?",,"Data restoration processes, and supporting data restoration procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1511?",,"Backups of important data, software and configuration settings are performed and retained with a frequency and retention timeframe in accordance with business continuity requirements."
"In the ACSC ISM, What is control identitifer ISM-1810?",,"Backups of important data, software and configuration settings are synchronised to enable restoration to a common point in time."
"In the ACSC ISM, What is control identitifer ISM-1811?",,"Backups of important data, software and configuration settings are retained in a secure and resilient manner."
"In the ACSC ISM, What is control identitifer ISM-1812?",,Unprivileged accounts cannot access backups belonging to other accounts.
"In the ACSC ISM, What is control identitifer ISM-1813?",,Unprivileged accounts cannot access their own backups.
"In the ACSC ISM, What is control identitifer ISM-1705?",,Privileged accounts (excluding backup administrator accounts) cannot access backups belonging to other accounts.
"In the ACSC ISM, What is control identitifer ISM-1706?",,Privileged accounts (excluding backup administrator accounts) cannot access their own backups.
"In the ACSC ISM, What is control identitifer ISM-1814?",,Unprivileged accounts are prevented from modifying and deleting backups.
"In the ACSC ISM, What is control identitifer ISM-1707?",,Privileged accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.
"In the ACSC ISM, What is control identitifer ISM-1708?",,Privileged accounts (including backup administrator accounts) are prevented from modifying and deleting backups during their retention period.
"In the ACSC ISM, What is control identitifer ISM-1515?",,"Restoration of important data, software and configuration settings from backups to a common point of time is tested as part of disaster recovery exercises."
"In the ACSC ISM, What is control identitifer ISM-0580?",,"An event logging policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-0585?",,"For each event logged, the date and time of the event, the relevant user or process, the relevant filename, the event description, and the ICT equipment involved are recorded."
"In the ACSC ISM, What is control identitifer ISM-1405?",,A centralised event logging facility is implemented and event logs are sent to the facility as soon as possible after they occur.
"In the ACSC ISM, What is control identitifer ISM-1815?",,Event logs stored within a centralised event logging facility are protected from unauthorised modification and deletion.
"In the ACSC ISM, What is control identitifer ISM-0988?",,An accurate time source is established and used consistently across systems to assist with identifying connections between events.
"In the ACSC ISM, What is control identitifer ISM-0109?",,Event logs are analysed in a timely manner to detect cyber security events.
"In the ACSC ISM, What is control identitifer ISM-1228?",,Cyber security events are analysed in a timely manner to identify cyber security incidents.
"In the ACSC ISM, What is control identitifer ISM-0859?",,"Event logs, excluding those for Domain Name System services and web proxies, are retained for at least seven years."
"In the ACSC ISM, What is control identitifer ISM-0991?",,Event logs for Domain Name System services and web proxies are retained for at least 18 months.
"In the ACSC ISM, What is control identitifer ISM-0400?",,"Development, testing and production environments are segregated."
"In the ACSC ISM, What is control identitifer ISM-1419?",,Development and modification of software only takes place in development environments.
"In the ACSC ISM, What is control identitifer ISM-1420?",,Data from production environments is not used in a development or testing environment unless the environment is secured to the same level as the production environment.
"In the ACSC ISM, What is control identitifer ISM-1422?",,Unauthorised access to the authoritative source for software is prevented.
"In the ACSC ISM, What is control identitifer ISM-1816?",,Unauthorised modification of the authoritative source for software is prevented.
"In the ACSC ISM, What is control identitifer ISM-0401?",,"Secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, and secure programming practices are used as part of application development."
"In the ACSC ISM, What is control identitifer ISM-1780?",,SecDevOps practices are used for application development.
"In the ACSC ISM, What is control identitifer ISM-1238?",,Threat modelling is used in support of application development.
"In the ACSC ISM, What is control identitifer ISM-1796?",,Files containing executable content are digitally signed as part of application development.
"In the ACSC ISM, What is control identitifer ISM-1797?",,"Installers, patches and updates are digitally signed or provided with cryptographic checksums as part of application development."
"In the ACSC ISM, What is control identitifer ISM-1798?",,Secure configuration guidance is produced as part of application development.
"In the ACSC ISM, What is control identitifer ISM-1730?",,A software bill of materials is produced and made available to consumers of software.
"In the ACSC ISM, What is control identitifer ISM-0402?",,"Applications are comprehensively tested for security vulnerabilities, using both static application security testing and dynamic application security testing, prior to their initial release and following any maintenance activities."
"In the ACSC ISM, What is control identitifer ISM-1754?",,Security vulnerabilities identified in applications are resolved by software developers.
"In the ACSC ISM, What is control identitifer ISM-1616?",,A vulnerability disclosure program is implemented to assist with the secure development and maintenance of products and services.
"In the ACSC ISM, What is control identitifer ISM-1755?",,"A vulnerability disclosure policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1756?",,"Vulnerability disclosure processes, and supporting vulnerability disclosure procedures, are developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-1717?",,A ‘security.txt’ file is hosted for all internet-facing organisational domains to assist in the responsible disclosure of security vulnerabilities in an organisation’s products and services.
"In the ACSC ISM, What is control identitifer ISM-0971?",,The OWASP Application Security Verification Standard is used in the development of web applications.
"In the ACSC ISM, What is control identitifer ISM-1849?",,The OWASP Top Ten Proactive Controls are used in the development of web applications.
"In the ACSC ISM, What is control identitifer ISM-1850?",,The OWASP Top 10 are mitigated in the development of web applications.
"In the ACSC ISM, What is control identitifer ISM-1239?",,Robust web application frameworks are used in the development of web applications.
"In the ACSC ISM, What is control identitifer ISM-1552?",,All web application content is offered exclusively using HTTPS.
"In the ACSC ISM, What is control identitifer ISM-1817?",,Authentication and authorisation of clients is performed when clients call web APIs that facilitate access to data not authorised for release into the public domain.
"In the ACSC ISM, What is control identitifer ISM-1818?",,Authentication and authorisation of clients is performed when clients call web APIs that facilitate modification of data.
"In the ACSC ISM, What is control identitifer ISM-1851?",,The OWASP API Security Top 10 are mitigated in the development of web APIs.
"In the ACSC ISM, What is control identitifer ISM-1240?",,Validation or sanitisation is performed on all input handled by web applications.
"In the ACSC ISM, What is control identitifer ISM-1241?",,Output encoding is performed on all output produced by web applications.
"In the ACSC ISM, What is control identitifer ISM-1424?",,"Web applications implement Content-Security-Policy, HSTS and X-Frame-Options via security policy in response headers."
"In the ACSC ISM, What is control identitifer ISM-1536?",,"The following events are logged for web applications: attempted access that is denied, crashes and error messages, and search queries initiated by users."
"In the ACSC ISM, What is control identitifer ISM-1757?",,Web application event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-1269?",,Database servers and web servers are functionally separated.
"In the ACSC ISM, What is control identitifer ISM-1277?",,Data communicated between database servers and web servers is encrypted.
"In the ACSC ISM, What is control identitifer ISM-1270?",,Database servers are placed on a different network segment to user workstations.
"In the ACSC ISM, What is control identitifer ISM-1271?",,"Network access controls are implemented to restrict database server communications to strictly defined network resources, such as web servers, application servers and storage area networks."
"In the ACSC ISM, What is control identitifer ISM-1272?",,"If only local access to a database is required, networking functionality of database management system software is disabled or directed to listen solely to the localhost interface."
"In the ACSC ISM, What is control identitifer ISM-1273?",,Development and testing environments do not use the same database servers as production environments.
"In the ACSC ISM, What is control identitifer ISM-1243?",,"A database register is developed, implemented, maintained and verified on a regular basis."
"In the ACSC ISM, What is control identitifer ISM-1256?",,File-based access controls are applied to database files.
"In the ACSC ISM, What is control identitifer ISM-0393?",,Databases and their contents are classified based on the sensitivity or classification of data that they contain.
"In the ACSC ISM, What is control identitifer ISM-1255?",,"Database users’ ability to access, insert, modify and remove database contents is restricted based on their work duties."
"In the ACSC ISM, What is control identitifer ISM-1268?",,"The need-to-know principle is enforced for database contents through the application of minimum privileges, database views and database roles."
"In the ACSC ISM, What is control identitifer ISM-1274?",,Database contents from production environments are not used in development or testing environments unless the environment is secured to the same level as the production environment.
"In the ACSC ISM, What is control identitifer ISM-1275?",,All queries to databases from web applications are filtered for legitimate content and correct syntax.
"In the ACSC ISM, What is control identitifer ISM-1276?",,"Parameterised queries or stored procedures, instead of dynamically generated queries, are used for database interactions."
"In the ACSC ISM, What is control identitifer ISM-1278?",,Web applications are designed or configured to provide as little error information as possible about the structure of databases.
"In the ACSC ISM, What is control identitifer ISM-1537?",,"The following events are logged for databases:
• access or modification of particularly important content
• addition of new users, especially privileged users
• changes to user roles or privileges
• attempts to elevate user privileges
• queries containing comments
• queries containing multiple embedded queries
• database and query alerts or failures
• database structure changes
• database administrator actions
• use of executable commands
• database logons and logoffs."
"In the ACSC ISM, What is control identitifer ISM-1758?",,Database event logs are stored centrally.
"In the ACSC ISM, What is control identitifer ISM-0264?",,"An email usage policy is developed, implemented and maintained."
"In the ACSC ISM, What is control identitifer ISM-0267?",,Access to non-approved webmail services is blocked.
"In the ACSC ISM, What is control identitifer ISM-0270?",,"Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments."
"In the ACSC ISM, What is control identitifer ISM-0271?",,Protective marking tools do not automatically insert protective markings into emails.
"In the ACSC ISM, What is control identitifer ISM-0272?",,"Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate."
"In the ACSC ISM, What is control identitifer ISM-1089?",,Protective marking tools do not allow users replying to or forwarding emails to select protective markings lower than previously used.
"In the ACSC ISM, What is control identitifer ISM-0565?",,"Email servers are configured to block, log and report emails with inappropriate protective markings."
"In the ACSC ISM, What is control identitifer ISM-1023?",,"The intended recipients of blocked inbound emails, and the senders of blocked outbound emails, are notified."
"In the ACSC ISM, What is control identitifer ISM-0569?",,Emails are routed via centralised email gateways.
"In the ACSC ISM, What is control identitifer ISM-0571?",,"When users send or receive emails, an authenticated and encrypted channel is used to route emails via their organisation’s centralised email gateways."
"In the ACSC ISM, What is control identitifer ISM-0570?",,"Where backup or alternative email gateways are in place, they are maintained at the same standard as the primary email gateway."
"In the ACSC ISM, What is control identitifer ISM-0567?",,Email servers only relay emails destined for or originating from their domains (including subdomains).
"In the ACSC ISM, What is control identitifer ISM-0572?",,Opportunistic TLS encryption is enabled on email servers that make incoming or outgoing email connections over public network infrastructure.
"In the ACSC ISM, What is control identitifer ISM-1589?",,MTA-STS is enabled to prevent the unencrypted transfer of emails between complying servers.
"In the ACSC ISM, What is control identitifer ISM-0574?",,SPF is used to specify authorised email servers (or lack thereof) for all domains (including subdomains).
"In the ACSC ISM, What is control identitifer ISM-1183?",,A hard fail SPF record is used when specifying authorised email servers (or lack thereof) for all domains (including subdomains).
"In the ACSC ISM, What is control identitifer ISM-1151?",,SPF is used to verify the authenticity of incoming emails.
"In the ACSC ISM, What is control identitifer ISM-0861?",,DKIM signing is enabled on emails originating from an organisation’s domains (including subdomains).
"In the ACSC ISM, What is control identitifer ISM-1026?",,DKIM signatures on received emails are verified.
"In the ACSC ISM, What is control identitifer ISM-1027?",,Email distribution list software used by external senders is configured such that it does not break the validity of the sender’s DKIM signature.
"In the ACSC ISM, What is control identitifer ISM-1540?",,DMARC records are configured for all domains (including subdomains) such that emails are rejected if they do not pass DMARC checks.
"In the ACSC ISM, What is control identitifer ISM-1799?",,Incoming emails are rejected if they do not pass DMARC checks.
"In the ACSC ISM, What is control identitifer ISM-1234?",,Email content filtering is implemented to filter potentially harmful content in email bodies and attachments.
"In the ACSC ISM, What is control identitifer ISM-1502?",,"Emails arriving via an external connection where the email source address uses an internal domain, or internal subdomain, are blocked at the email gateway."
"In the ACSC ISM, What is control identitifer ISM-1024?",,Notifications of undeliverable emails are only sent to senders that can be verified via SPF or other trusted means.
"In the ACSC ISM, What is control identitifer ISM-0518?",,"Network documentation is developed, implemented, maintained."
"In the ACSC ISM, What is control identitifer ISM-0516?",,"Network documentation includes high-level network diagrams showing all connections into networks and logical network diagrams showing all critical servers, high-value servers, network devices and network security appliances."
"In the ACSC ISM, What is control identitifer ISM-1178?",,"Network documentation provided to a third party, or published in public tender documentation, only contains details necessary for other parties to undertake contractual services."
"In the ACSC ISM, What is control identitifer ISM-1781?",,All data communicated over network infrastructure is encrypted.
"In the ACSC ISM, What is control identitifer ISM-1181?",,"Networks are segregated into multiple network zones according to the criticality of servers, services and data."
"In the ACSC ISM, What is control identitifer ISM-1577?",,An organisation’s networks are segregated from their service providers’ networks.
"In the ACSC ISM, What is control identitifer ISM-1532?",,VLANs are not used to separate network traffic between an organisation’s networks and public network infrastructure.
"In the ACSC ISM, What is control identitifer ISM-0529?",,VLANs are not used to separate network traffic between networks belonging to different security domains.
"In the ACSC ISM, What is control identitifer ISM-0530?",,Network devices managing VLANs are administered from the most trusted security domain.
"In the ACSC ISM, What is control identitifer ISM-0535?",,Network devices managing VLANs belonging to different security domains do not share VLAN trunks.
"In the ACSC ISM, What is control identitifer ISM-1364?",,Network devices managing VLANs terminate VLANs belonging to different security domains on separate physical network interfaces.
"In the ACSC ISM, What is control identitifer ISM-0521?",,IPv6 functionality is disabled in dual-stack network devices unless it is being used.
"In the ACSC ISM, What is control identitifer ISM-1186?",,IPv6 capable network security appliances are used on IPv6 and dual-stack networks.
"In the ACSC ISM, What is control identitifer ISM-1428?",,"Unless explicitly required, IPv6 tunnelling is disabled on all network devices."
"In the ACSC ISM, What is control identitifer ISM-1429?",,IPv6 tunnelling is blocked by network security appliances at externally-connected network boundaries.
"In the ACSC ISM, What is control identitifer ISM-1430?",,Dynamically assigned IPv6 addresses are configured with Dynamic Host Configuration Protocol version 6 in a stateful manner with lease data stored in a centralised event logging facility.
"In the ACSC ISM, What is control identitifer ISM-0520?",,Network access controls are implemented on networks to prevent the connection of unauthorised network devices.
"In the ACSC ISM, What is control identitifer ISM-1182?",,Network access controls are implemented to limit network traffic within and between network segments to only those required for business purposes.
"In the ACSC ISM, What is control identitifer ISM-0385?",,Servers maintain effective functional separation with other servers allowing them to operate independently.
"In the ACSC ISM, What is control identitifer ISM-1479?",,Servers minimise communications with other servers at both the network and file system level.
"In the ACSC ISM, What is control identitifer ISM-1006?",,Security measures are implemented to prevent unauthorised access to network management traffic.
"In the ACSC ISM, What is control identitifer ISM-1311?",,SNMP version 1 and SNMP version 2 are not used on networks.
"In the ACSC ISM, What is control identitifer ISM-1312?",,All default SNMP community strings on network devices are changed and write access is disabled.
"In the ACSC ISM, What is control identitifer ISM-1028?",,A NIDS or NIPS is deployed in gateways between an organisation’s networks and other networks they do not manage.
"In the ACSC ISM, What is control identitifer ISM-1030?",,A NIDS or NIPS is located immediately inside the outermost firewall for gateways and configured to generate event logs and alerts for network traffic that contravenes any rule in a firewall ruleset.
"In the ACSC ISM, What is control identitifer ISM-1627?",,Inbound network connections from anonymity networks to internet-facing services are blocked.
"In the ACSC ISM, What is control identitifer ISM-1628?",,Outbound network connections to anonymity networks are blocked.
"In the ACSC ISM, What is control identitifer ISM-1782?",,A protective DNS service is used to block access to known malicious domain names.
"In the ACSC ISM, What is control identitifer ISM-1800?",,Network devices are flashed with trusted firmware before they are used for the first time.
"In the ACSC ISM, What is control identitifer ISM-1304?",,"Default accounts or credentials for network devices including for any pre-configured accounts, are changed."
"In the ACSC ISM, What is control identitifer ISM-0534?",,Unused physical ports on network devices are disabled.
"In the ACSC ISM, What is control identitifer ISM-1801?",,Network devices are restarted on at least a monthly basis.
"In the ACSC ISM, What is control identitifer ISM-1314?",,All wireless devices are Wi-Fi Alliance certified.
