control,question,answer
ISM-0588,What are some key components of a fax machine and MFD usage policy?,"The main components of a fax machine and MFD usage policy include ensuring users follow security protocols when sending or receiving documents via these devices, maintaining confidentiality by restricting access to sensitive data, and establishing guidelines for proper use of equipment such as printing only necessary copies and using double-sided pages whenever possible ISM-0588"
ISM-0588,What are some key components of a fax machine and MFD usage policy?,"The main components of a fax machine and MFD usage policy include rules for use, security measures, maintenance procedures, and training requirements ISM-0588"
ISM-0588,	What are some best practices when developing a fax machine and multi function device (MFD) usage policy?,"Some best practices when developing a fax machine and MFD usage policy include ensuring that all users have access to training on how to use these devices properly, establishing clear guidelines around what can and cannot be sent through them, and making sure there is a process in place for reporting any issues with the equipment or its usage ISM-0588"
ISM-0590,What controls do you have over your network-connected Multi Function Devices (MFD)? ,"You can control access and usage, as well as monitor activity - ISM-0590"
ISM-0591,What is evaluated peripheral switch? ,Evaluated peripheral switches are used when sharing peripherals between systems - ISM-0591
ISM-0591,	What is a peripheral switch?,"Peripheral switches allow multiple computers or devices to share resources such as printers, scanners, hard drives, etc., without having to connect each device individually ISM-0591"
ISM-0611,	What should system administrators for gateways have access to in order to perform their duties?,	System administrators for gateways should only have access to the resources they need to perform their duties ISM-0611
ISM-0612,	What should system administrators for gateways know about operating and managing gateways?,	System administrators for gateways need to have knowledge in the configuration and implementation of gateways as well as troubleshooting issues related to them ISM-0612
ISM-0612,What does it take to become a system administrator?,"To be a system administrator, you must have formal training on how to operate and manage gateways ISM-0612"
ISM-0616,	What are some examples of system administrator responsibilities for gateways?,"	System administrators for gateways perform tasks such as configuring network devices, managing user accounts, maintaining servers, installing software updates, monitoring systems performance, troubleshooting issues, etc ISM-0616"
ISM-0619,	What are some ways in which users can authenticate to networks accessed via gateways?,	Users can authenticate to networks accessed via gateways by using passwords or tokens ISM-0619
ISM-0622,	What are some examples of gateways?,"Some examples of gateways include routers, firewalls, switches, wireless access points, network bridges, proxy servers, VPNs, etc ISM-0622"
ISM-0628,	What is a gateway?,	A gateway is a device or software program that connects two or more computer systems together over a network. ISM-0628
ISM-0628,What is a gateway? ,"A gateway is a device or software program that acts as an intermediary for data transmission from one network to another, typically across a firewall. - ISM-0628"
ISM-0631,	What are some examples of gateways?,"	Firewalls, routers, switches ISM-0631"
ISM-0634,	What does gateway event logging and alerting provide?,Gateway Event Logging and Alerting provides information about data packets and data flows permitted through gateways as well as attempts at leaving gateways ISM-0634
ISM-0634,What types of events can be logged by a gateway?,"Gateway logs include connection, disconnection and error events ISM-0634"
ISM-0637,	What are some examples of gateways?,"	Firewalls, routers, switches ISM-0637"
ISM-0639,What does evaluated mean? ,It means that the firewall has been tested and approved for use by experts - ISM-0639
ISM-0643,	What is the purpose of using diode in a network?,Diodes are used to control the direction of current through a circuit. ISM-0643
ISM-0649,	What does ISM-0649 refer to in this context?,	It refers to a standard number used by the International Organization for Standardization (ISO). ISM-0649
ISM-0651,Do I need to worry about viruses on my mobile devices?,"Yes, just like desktop computers, smartphones and tablets are also susceptible to virus attacks. ISM-0651"
ISM-0651,What happens when files are identified as malicious?,They will be blocked from being accessed. ISM-0651
ISM-0651,Are all viruses dangerous?,"No, not all viruses pose a threat to your device. Some viruses simply cause annoyances such as popups or slowdowns. ISM-0651"
ISM-0651,Should I delete any suspicious emails immediately?,"It depends on what type of email they are. If they contain attachments, then yes, you should delete them right away. ISM-0651"
ISM-0651,Can I still use my computer if it has been infected with malware?,"Yes, but your system may run slower than usual due to the presence of unwanted programs on your machine. ISM-0651"
ISM-0651,Which types of files are more likely to carry viruses?,"Executable files (.exe) and compressed archives (zip, rar). ISM-0651"
ISM-0651,Why does my anti-virus program take so long to scan my hard drive?,Scanning takes time because most modern computers have large amounts of data stored on their drives. ISM-0651
ISM-0651,How do you block access to these files?,By blocking them at the network level using firewalls and other security measures. ISM-0651
ISM-0651,Are all viruses dangerous?,"No, not all viruses pose a threat to your device. Some viruses simply cause annoyances such as popups and ads. ISM-0651"
ISM-0651,Is there anything else I can do to protect myself against malware?,You should always keep your operating systems up-to-date and install antivirus software for additional protection. ISM-0651
ISM-0651,	What should an organization do to perform content filtering?,"An organization can use tools such as firewalls, intrusion detection systems (IDS), web filters, anti-virus software, spam blockers, etc., to filter out unwanted content from entering its network ISM-0651"
ISM-0652,What happens when files are flagged as suspicious?,"When files are flagged as suspicious, they will be placed into a quarantine folder where they can be reviewed before being released back out to users. ISM-0652"
ISM-0652,	What should an organization do to perform content filtering?,"An organization can use various tools such as firewalls, intrusion detection systems (IDS), anti-virus software, spam filters, etc., to filter out unwanted content from entering its network ISM-0652"
ISM-0657,	What are some ways in which you can ensure secure transfer of data when using manual methods?,"	When manually importing data into your system, it's important to scan the files for any malicious or active content before uploading them. ISM-0657"
ISM-0657,What does scanning mean? ,Scanning refers to checking or examining something carefully - ISM-0657
ISM-0659,	What are some examples of content filtering techniques used in network security?,"Content filtering can use various methods such as keyword matching, regular expressions, Bayesian analysis, machine learning algorithms etc ISM-0659"
ISM-0661,	What does this mean?,This means that users who send or receive information on a system must take responsibility for ensuring it is done in accordance with policies and procedures ISM-0661
ISM-0661,What does this control mean?,It means users who transfer data between systems must be responsible for their actions ISM-0661
ISM-0663,What are some examples of data transfer processes? ,"Examples include file transfers, database replication, and cloud migration - ISM-0663"
ISM-0663,"	What should an organization do to develop, implement and maintain data transfer processes and procedures?",An organization should ensure that all data transfer processes and procedures are documented in detail and followed by employees during each step of the process. ISM-0663
ISM-0677,What does validated mean? ,Validation means checking if files imported or exported through gateways and CDSs contain a digital signature or cryptographic checksum - ISM-0677
ISM-0677,	What does ISM-0677 refer to in this context?,	ISM-0677 refers to a standard set by Information Security Management (ISM) which states that files imported or exported through gateways or Content Delivery Services must be digitally signed or encrypted with a checksum ISM-0677
ISM-0714,What are some guidelines for cyber security roles?,"The chief information security officer (CISO) provides cybersecurity leadership and guidance, while other roles such as network administrators ensure systems remain secure from threats ISM-0714"
ISM-0714,What are some responsibilities of a Chief Information Security Officer (CISO)?,"The main responsibility of a CISO is to ensure that all data within an organization remains secure from external threats, such as hackers or malware attacks. They also work with other departments to develop policies and procedures related to cybersecurity. ISM-0714"
ISM-0714,	What are some responsibilities of a Chief Information Security Officer (CISO)?,"The chief information security officer has many responsibilities including providing cybersecurity leadership and guidance, developing policies and procedures, managing risk assessments, overseeing incident management, ensuring compliance with regulations, and more. ISM-0714"
ISM-0717,What are some guidelines for cyber security roles? ,"1) Ensure all employees have strong passwords and change them regularly; 2) Use multi-factor authentication when possible; 3) Educate staff on phishing attacks, malware, ransomware, etc.; 4) Conduct regular vulnerability scanning and penetration testing - ISM-0717"
ISM-0717,What are some responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including managing and developing policies for data protection, ensuring compliance with regulations, and training employees on best practices. ISM-0717"
ISM-0717,What are some responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including managing and developing policies for data protection, ensuring compliance with regulations, implementing new technologies, and training employees on best practices ISM-0717"
ISM-0717,	What are some responsibilities of a Chief Information Security Officer (CISO)?,"Some responsibilities of a Chief Information Security Officer include developing policies and procedures related to information security, managing risk assessments, ensuring compliance with regulations, and providing training on best practices in cybersecurity ISM-0717"
ISM-0717,What are some responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including managing and developing policies for data protection, ensuring compliance with regulations, and overseeing the implementation of new technologies. ISM-0717"
ISM-0718,	What are some responsibilities of Chief Information Security Officers (CISOs)?,"Some responsibilities of Chief Information Security Officers include developing and implementing information security policies, managing risk assessments, overseeing incident management processes, ensuring compliance with regulations, and reporting on cybersecurity issues ISM-0718"
ISM-0718,Who does the Chief Information Security Officer (CISO) report to?,The CISO reports directly to their organization's senior executives and/or board of directors regarding cybersecurity issues ISM-0718
ISM-0720,	What are some examples of communication strategies used by organizations in developing a cybersecurity awareness program?,"Examples include email campaigns, newsletters, posters, videos, social media posts, etc ISM-0720"
ISM-0720,What are some of the responsibilities of a Chief Information Security Officer (CISO)?,"A CISO's main responsibility is developing, implementing and maintaining a cybersecurity communication strategy for their organization. ISM-0720"
ISM-0720,What are some of the responsibilities of a Chief Information Security Officer (CISO)?,"A CISO's primary responsibility is developing, implementing and maintaining a cybersecurity communication strategy for their organization. ISM-0720"
ISM-0724,What are some examples of cybersecurity measurements? ,"Examples include network availability, data loss prevention, vulnerabilities, intrusion detection systems, etc - ISM-0724"
ISM-0724,What are some guidelines for cyber security roles? ,"1) Implementing cyber security measurements, 2) Developing key performance indicators - ISM-0724"
ISM-0724,	What are some responsibilities of a Chief Information Security Officer (CISO)?,"Some responsibilities of a Chief Information Security Officer include overseeing the cybersecurity program, developing policies and procedures, implementing cybersecurity measures, managing risk assessments, and ensuring compliance with regulations ISM-0724"
ISM-0724,What are some examples of cybersecurity measurements? ,"Examples include network availability, data loss prevention, vulnerabilities, malware detection, etc - ISM-0724"
ISM-0725,What are some guidelines for cyber security roles? ,The chief information security officer (CISO) should coordinate cybersecurity by coordinating with other members of the organization's leadership team via a cybersecurity steering committee or advisory board - ISM-0725
ISM-0725,	What are some responsibilities of Chief Information Security Officers (CISOs)?,"Some responsibilities of Chief Information Security Officers include coordinating cybersecurity, developing policies and procedures, managing risk assessments, ensuring compliance with regulations, and overseeing incident management ISM-0725"
ISM-0725,"* 19/20 - Use the following text to compose a QnA pair: Guidelines for Security Documentation: Development and maintenance of security documentation: Cyber security strategy: A cyber security strategy is developed, implemented and maintained.What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?",An organization should develop a cyber security strategy by identifying potential threats and vulnerabilities in order to mitigate them effectively ISM-0725
ISM-0726,What are some guidelines for cyber security roles? ,1) Chief Information Security Officers (CISOs): They coordinate cybersecurity risk management activities between cybersecurity and business teams. - ISM-0726
ISM-0726,	What are some responsibilities of Chief Information Security Officers (CISOs)?,Some responsibilities of Chief Information Security Officers include coordinating cybersecurity risk management activities between cyber security and business teams; developing and implementing information security policies and procedures; ensuring compliance with relevant laws and regulations; managing incident response processes; and overseeing vulnerability assessments ISM-0726
ISM-0726,What are some responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including coordinating security risk management activities between cybersecurity and business teams ISM-0726"
ISM-0731,What are some of the responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including ensuring the confidentiality and integrity of data, managing risks associated with cyber threats, developing policies and procedures related to IT security, and establishing processes for incident detection and recovery. ISM-0731"
ISM-0731,What are some of the responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including ensuring the confidentiality and integrity of data, managing risks associated with cyber threats, developing policies and procedures related to IT security, and more. ISM-0731"
ISM-0731,What are some guidelines for cyber security roles? ,"1) Ensure all employees have adequate training on cybersecurity best practices, including how to identify and report suspicious activity; 2) Establish policies around password use and change frequency; 3) Implement multi-factor authentication where possible - ISM-0731"
ISM-0731,How can a Chief Information Security Officer (CISO) work with suppliers in order to mitigate cybersecurity threats?,"By working closely with vendors and partners, the CISO can ensure they are aware of any potential vulnerabilities or weaknesses in their systems which could lead to data breaches. ISM-0731"
ISM-0731,What are some of the responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including ensuring the confidentiality and integrity of data, managing risks associated with cyber threats, developing policies and procedures related to IT security, and establishing controls around cyber supply chain risk management ISM-0731"
ISM-0731,What are some of the responsibilities of a Chief Information Security Officer?,"A chief information security officer (CISO) has many responsibilities, including ensuring the confidentiality and integrity of data, managing risks associated with cybersecurity threats, developing policies and procedures related to cybersecurity, and establishing controls around cyber supply chain risk management ISM-0731"
ISM-0732,	What are some ways in which a Chief Information Security Officer (CISO) can receive and manage a dedicated cybersecurity budget?,Some ways in which a Chief Information Security Officer (CISO) can receive and manage a dedicated cybersecurity budget include: - Establishing a clear understanding of the current state of the company's cybersecurity posture; - Identifying areas where additional investments need to be made; - Developing a comprehensive cybersecurity roadmap with specific goals and timelines; - Working closely with other departments such as finance or procurement to ensure adequate funding is available; - Ensuring all employees understand how they play a role in protecting sensitive data; - Monitoring progress towards achieving set objectives on a regular basis ISM-0732
ISM-0732,What are some ways of using this budget? ,"This money can be used to purchase new software, hardware or services related to cybersecurity. It could also be spent on training employees about best practices and hiring additional staff members with specialized skills - ISM-0732"
ISM-0733,What are some guidelines for cybersecurity roles? ,"1) Ensure compliance with regulations and standards, 2) Develop policies and procedures, 3) Conduct risk assessments, 4) Implement controls - ISM-0733"
ISM-0733,What does it mean for the CISO to be fully aware of cybersecurity incidents?,It means that they are up-to-date on any potential threats and have taken appropriate measures to prevent them from occurring or minimize damage if one occurs ISM-0733
ISM-0733,	What are some responsibilities of a Chief Information Security Officer (CISO)?,"Some responsibilities of a Chief Information Security Officer include overseeing incident response activities, developing and implementing information security policies, managing risk assessments, ensuring compliance with regulations, and providing guidance on best practices in cybersecurity ISM-0733"
ISM-0733,What are some guidelines for cybersecurity roles? ,"1) Ensure proper training and awareness programs, 2) Establish clear policies and procedures, 3) Conduct regular risk assessments - ISM-0733"
ISM-0734,What does a CISO do?,"A Chief Information Security Officer (CISO) ensures that all data, systems, networks, and applications within an organization are secure from cyber threats by developing security policies and procedures, implementing appropriate controls, and monitoring compliance with those standards ISM-0734"
ISM-0735,	What are some key responsibilities of a Chief Information Security Officer (CISO)?,"Some key responsibilities of a Chief Information Security Officer include developing, implementing and maintaining cybersecurity policies; managing risk assessments; ensuring compliance with regulations; and overseeing incident management ISM-0735"
ISM-0735,What are some responsibilities of a Chief Information Security Officer (CISO)?,"A CISO has many responsibilities including developing, implementing and maintaining their organization's cybersecurity awareness training programs ISM-0735"
ISM-0735,What are some guidelines for cyber security roles? ,1) Ensure all employees have adequate knowledge about cybersecurity risks; 2) Develop policies and procedures related to cybersecurity; 3) Implement appropriate controls to protect sensitive data - ISM-0735
ISM-0813,What should be done when leaving server rooms?,Servers must always be shut down before exiting the room ISM-0813
ISM-0813,What should be done when leaving server rooms? ,Ensure all equipment has been powered down before exiting - ISM-0813
ISM-0817,	What is suspicious contact via online services?,Suspicious contact via online services refers to any communication or interaction with another person through digital channels which may indicate potential harmful intentions towards you or your company ISM-0817
ISM-0820,What should I do if my company's confidential data has been leaked? ,"Report it immediately, then follow your organization’s protocol for handling sensitive information - ISM-0820"
ISM-0821,What should I do if someone posts my private information on social media?,"If you notice your private information has been posted without permission, contact the service provider immediately and report it as abuse or harassment. ISM-0821"
ISM-0824,	What are some examples of unauthorized online services?,"Examples include peer-to-peer file sharing sites such as BitTorrent, cloud storage services like Dropbox, and email attachments sent through unencrypted channels ISM-0824"
ISM-0824,What does unauthorized mean? ,Unauthorized means something that has been done without permission - ISM-0824
ISM-0831,What does control mean? ,"Control refers to managing access and use of media, such as restricting who can view it and how they are allowed to interact with it. - ISM-0831"
ISM-0831,How can you handle sensitive information?,Sensitive information must always be treated with care. It needs to be stored securely and only accessed by authorized personnel. ISM-0831
ISM-0831,What does control mean? ,"Control refers to managing and handling media content, such as images, videos, audio files etc., in a way that ensures it's securely stored and protected from unauthorized access - ISM-0831"
ISM-0836,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management framework which includes identifying threats, vulnerabilities, impacts and controls. ISM-0836"
ISM-0839,	What are some examples of accountable materials that require secure disposal?,"Accountable materials include sensitive information such as financial records, medical data or personal identifiable information (PII). ISM-0839"
ISM-0839,What does The destruction of media storing accountable material is not outsourced mean?,It means that any sensitive data should be destroyed by authorized personnel only and cannot be sent outside for disposal ISM-0839
ISM-0840,	What are some best practices when it comes to managing data breaches?,"	When handling a data breach, organizations must follow certain steps such as identifying the scope of the incident, containing the damage, notifying affected parties, conducting post-incident analysis, and implementing changes to prevent future incidents from occurring. ISM-0840"
ISM-0843,How can application control be implemented on workstations?,Applications can be controlled by using software restriction policies in Windows operating systems or through the use of third party applications such as Symantec Endpoint Protection ISM-0843
ISM-0843,What type of application controls are used? ,Workstation-based application controls - ISM-0843
ISM-0846,	What are some examples of application controls?,Examples include: ISM-0846
ISM-0846,"Can all users disable, bypass or be exempted from application control?","No, only local administrators can do this. ISM-0846"
ISM-0853,What happens when a session expires? ,"When a session expires, it will be automatically logged out from all applications and services running on the system. - ISM-0853"
ISM-0859,How long do event logs related to DNS services and web proxy be kept?,The retention period of these types of events is less than 7 days ISM-0859
ISM-0859,How long does event logs need to be kept in your company?,At least 7 years ISM-0859
ISM-0861,What does it mean when DKIM signing is enabled?,"It means that all outgoing email messages are signed with DomainKeys Identified Mail, which helps prevent spoofing and phishing attacks by verifying the sender's domain name. ISM-0861"
ISM-0861,	What does domainkeys identified mail mean?,It means that email messages are digitally signed by using cryptographic techniques so as to verify the sender's identity ISM-0861
ISM-0863,Can mobile devices be used for work? ,"Yes, but they can only run approved apps - ISM-0863"
ISM-0863,	What are some ways in which organizations can maintain mobile device security?,"Organizations can implement policies such as restricting access to certain apps, requiring strong passwords, encrypting data on lost/stolen devices etc ISM-0863"
ISM-0864,	What are some ways in which organizations can ensure that employees cannot disable or modify security features on their mobile devices?,Organizations can implement policies that require users to enable two factor authentication when logging into corporate resources. ISM-0864
ISM-0864,What are some examples of mobile device security features? ,"Examples include encryption, password protection and remote wipe capabilities - ISM-0864"
ISM-0866,	What are some precautions one can take when using a mobile device in public places?,"Some precautions include avoiding sensitive information on your phone, keeping it out of sight while you use it, and turning off notifications so others cannot see them. ISM-0866"
ISM-0869,	What are some best practices for mobile device management?,Some best practices for mobile device management include: ISM-0869
ISM-0869,What does mobile device encryption do? ,"It protects data on your phone by converting it into unreadable code, so if someone steals or loses your phone they can't access your private files - ISM-0869"
ISM-0869,What does mobile device encryption do? ,It protects data on your phone by making it unreadable without the correct password or passcode - ISM-0869
ISM-0870,	What should an organization do to maintain control over its mobile devices?,An organization can ensure that all employees follow the policy by implementing strict rules regarding the use of mobile devices. ISM-0870
ISM-0870,What does it mean for mobile device to be carried? ,"Carrying refers to carrying a mobile device with you, such as by holding it in your hand or placing it inside of a bag or pocket - ISM-0870"
ISM-0870,What does it mean for mobile device to be secured?,"When a mobile device is secure, it means that all data on the device has been encrypted and protected from unauthorized access. ISM-0870"
ISM-0871,What does mobile device mean? ,"Any portable electronic device, such as smartphones and tablets - ISM-0871"
ISM-0871,How can organizations maintain control over mobile devices in use by employees?,Organizations can ensure that all mobile devices are kept under constant supervision while they are active. ISM-0871
ISM-0874,What does it mean when mobile devices connect to an organization's Internet Gateway?,"When mobile devices connect to an organization's Internet Gateway, they are accessing the internet through a virtual private network (VPN) instead of directly connecting to the internet ISM-0874"
ISM-0874,How can organizations ensure secure connectivity between mobile devices and the Internet?,Organizations can use virtual private networks (VPN) to provide secure connections between mobile devices and the Internet ISM-0874
ISM-0888,What does Security documentation is reviewed at least annually mean?,"It means security documents are checked for accuracy every year, ensuring they reflect current policies and procedures ISM-0888"
ISM-0917,	What should an organization do to plan for cyber security risks and manage cyber security business risks within their organisation.?,"An organization must develop a comprehensive risk management program which includes identifying threats, vulnerabilities, impacts, controls, and mitigation strategies. ISM-0917"
ISM-0926,	What colour is an ISM-0926 cable?,An ISM-0926 cable is not colored either Salmon Pink or Red ISM-0926
ISM-0926,What colour should official or protected cables be? ,Official and Protected cables must not be colored either Salmon Pink or Red - ISM-0926
ISM-0931,	What does ISM-0931 mean in this context?,	It means that push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements ISM-0931
ISM-0947,	What are some examples of reusable media?,"Examples of reusable media include USB drives, CDs/DVDs, SD cards, etc ISM-0947"
ISM-0958,	What are some examples of web content filtering techniques?,Some examples of web content filtering techniques include: ISM-0958
ISM-0961,	What are some examples of client-side active content restrictions?,"Examples include restricting access to websites with inappropriate or malicious content such as pornography, gambling sites, phishing sites etc ISM-0961"
ISM-0961,What are some examples of client-side active content?,"Examples include JavaScript, Java applets and Flash animations ISM-0961"
ISM-0963,What is web content filtering? ,"Web content filtering is used to block access to websites containing potentially harmful or unwanted content, such as pornography and malware - ISM-0963"
ISM-0963,How can you implement web content filtering in your network?,"Implementing web content filtering involves configuring a firewall or proxy server with rules to block access to certain websites based on keywords, categories, URLs, IP addresses, etc. ISM-0963"
ISM-0971,	What are some common vulnerabilities found in web applications?,"	Cross Site Scripting (XSS), SQL Injection, Cross Site Request Forgery (CSRF) ISM-0971"
ISM-0974,	What are some examples of multi-factor authentication?,"Some examples of multi-factor authentication include biometrics (fingerprints), smart cards, tokens, PIN codes, passwords, etc ISM-0974"
ISM-0974,What is multi-factor authentication?,"Multi-factor authentication (MFA) is a security process that requires multiple forms of identification from different categories, such as something you know and something you have or are, before granting access to a system ISM-0974"
ISM-0979,	What are some examples of authentication hardening techniques?,Some examples of authentication hardening techniques include: ISM-0979
ISM-0979,What are some examples of legal advice? ,"Some examples of legal advice include contracts, intellectual property rights and copyright laws - ISM-0979"
ISM-0988,	What are some examples of centralized event logging facilities?,"Examples include Splunk, Loggly, ELK Stack ISM-0988"
ISM-0988,What is an accurate time source? ,"An accurate time source is a system or device that provides precise timing for other devices, such as clocks or computers - ISM-0988"
ISM-0991,How long should event logs be kept in your network?,Event logs should be kept for at least 18 months ISM-0991
ISM-0991,How long do event logs for DNS services and web proxies need to be kept?,At least 18 months ISM-0991
ISM-0994,What are ECDH and ECDSA?,"ECDH stands for Elliptic Curve Digital Signature Algorithm, while ECDSA refers to Elliptic Curve Digital Signatures. These algorithms use elliptical curves instead of prime numbers as the basis for encryption and digital signatures. They are considered more secure than traditional methods such as RSA or Diffie-Hellman (DH). ISM-0994"
ISM-0994,	What are some ASD approved cryptographic algorithms?,	Asymmetric/Public Key Algorithms such as ISM-0994 ECDH and ECDSA are used in preference to DH and DSA ISM-0994
ISM-0994,What are ECDH and ECDSA?,"ECDH stands for Elliptic Curve Digital Signature Algorithm, while ECDSA means Ellipitic Curve Digital Signature Algorithm. They are both used as alternatives to Diffie-Hellman (DH) and Digital Signature Algorithm (DSA). ISM-0994"
ISM-0998,	What are some integrity algorithms used in Internet protocol security?,"	ISM-0998 AUTH_HMAC_SHA2_256_128, AUTH_HMAC_SHA2_384_192, AUTH_HMAC_SHA2_512_256 or NONE (only with AES-GCM). ISM-0998"
ISM-0999,	What are some examples of Diffie-Hellman Groups?,"	ISM-0999 DH or ECDH is used for key establishment of IPsec connections, preferably 384-bit random ECP group, 3072-bit MODP Group or 4096-bit MODP Group ISM-0999"
ISM-1000,What does PFS stand for? ,Perfect Forward Secrecy - ISM-1000
ISM-1000,	What is Internet Protocol Security (IPSec)?,	Internet Protocol Security (IPSec) is a set of protocols designed by IETF to provide secure communication over untrusted networks such as the internet. ISM-1000
ISM-1006,	What are some security measures that can be used to prevent unauthorized access to network management traffic?,"Some security measures include encryption, authentication, authorization, auditing, monitoring, logging, etc ISM-1006"
ISM-1019,What are some steps involved in developing a denial of service response plan?,"The first step involves identifying potential threats and vulnerabilities related to your network infrastructure. Next you should develop policies and procedures to mitigate these risks. Finally, test and monitor your systems regularly to ensure they remain secure against attacks ISM-1019"
ISM-1019,	What are some examples of denial of service attacks on video conferencing and internet protocol telephony systems?,"Some examples of denial of service attacks on video conferencing and internet protocol telephony systems include flooding, spoofing, man in middle attack, distributed denial of service (DDoS) ISM-1019"
ISM-1023,"	What should an organization do to handle emails with inappropriate, invalid or missing protective markings?","An organization should notify the intended recipient of blocked inbound emails, as well as the sender of blocked outbound emails ISM-1023"
ISM-1024,What does SPF stand for? ,Sender Policy Framework - ISM-1024
ISM-1026,	What does domain keys identified mail (DKIM) mean?,	Domain Keys Identified Mail (DKIM) is a method used by email service providers to verify the identity of senders through cryptographic authentication. ISM-1026
ISM-1026,What does DKIM stand for? ,Domain Keys Identified Mail - ISM-1026
ISM-1027,What is email distribution list software? ,Email distribution list software allows users to create and manage mailing lists for sending emails to multiple recipients at once - ISM-1027
ISM-1027,	What are some best practices when configuring email gateways and servers?,	DomainKeys Identified Mail (DKIM) is one of the most important protocols in securing emails against spoofing attacks. It allows organizations to sign outgoing messages with a digital signature so recipients can verify the authenticity of the message. ISM-1027
ISM-1028,What is a NIDS?,"A Network Intrusion Detection System (NIDS) monitors network traffic for suspicious activity, such as malware attacks, unauthorized access attempts, and data exfiltration. ISM-1028"
ISM-1028,	What are some examples of network based intrusion detection systems (NIDS)?,"Examples include Snort, Suricata, Bro, Argus, OSSEC, Sguil, Tripwire, etc ISM-1028"
ISM-1030,What is a NIDS?,"A Network Intrusion Detection System (NIDS) monitors network traffic for suspicious activity, such as malware attacks, unauthorized access attempts, and other anomalies. ISM-1030"
ISM-1030,	What are some examples of network-based intrusion detection systems (NIDS)?,"Examples include Snort, Suricata, Bro, Argus, OSSEC, Tripwire, etc ISM-1030"
ISM-1034,	What are some examples of host based intrusion prevention systems (HIPS)?,Some examples of host based intrusion prevention systems include: ISM-1034
ISM-1034,What are some examples of high value servers?,"High value servers can be any server with sensitive data or valuable assets such as financial records, intellectual property, customer data, etc. ISM-1034"
ISM-1034,How does a HIPS protect these types of servers?,A HIPS monitors all network traffic for suspicious activity and blocks malware from executing on the system by preventing it from accessing certain resources ISM-1034
ISM-1034,What are some examples of critical servers?,"Critical servers include web servers, database servers, mail servers, file servers, etc. ISM-1034"
ISM-1036,Where should fax machines and multifunction devices (MFD) be placed?,"Fax machines and MFDs should be placed in areas where they can easily be monitored by staff, such as near reception desks or other high-traffic locations ISM-1036"
ISM-1037,What are gateways? ,Gateways are devices used for routing data between networks or systems - ISM-1037
ISM-1037,	What are some examples of gateways?,"Examples of gateways include firewalls, routers, switches, load balancers, VPNs, proxies, etc ISM-1037"
ISM-1055,	What is insecure authentication method?,An insecure authentication method refers to any authentication process which does not provide adequate protection against unauthorized access or use of resources. ISM-1055
ISM-1059,How can you handle media in your company?,Media handling procedures must ensure all data stored on media is encrypted ISM-1059
ISM-1059,What does All data stored on media mean? ,It means all files and other content are protected by encryption - ISM-1059
ISM-1065,	What does ISM-1065 refer to in this context?,	It refers to International Standardization Measurement - 1065 ISM-1065
ISM-1065,What does reset mean? ,To restore to its original state - ISM-1065
ISM-1067,	What are some methods for sanitizing non-volatile magnetic media?,Some methods include using the ATA Secure Erase Command or Block Overwriting Software ISM-1067
ISM-1067,What does ATA Secure Erase do?,It ensures the growth defects table of non-volatile magnetic hard drives are overwritten ISM-1067
ISM-1071,	What are some responsibilities of a system owner?,"The responsibility of a system owner includes ensuring that all systems are securely configured, regularly monitored, patched, backed up, and documented according to organizational standards ISM-1071"
ISM-1073,What does this control mean?,This means that an organization's systems and data will only be accessed or administered by a third party if there is a formal agreement between them ISM-1073
ISM-1078,What are some of the steps involved in developing a telephone system usage policy?,"The first step involves identifying stakeholders who will be affected by the new policy. Next, you should conduct research on existing policies at other organizations. Then, create a draft document outlining your proposed changes. Finally, implement the new policy and monitor its effectiveness over time ISM-1078"
ISM-1080,	What are some examples of encryption algorithms?,"Some examples of encryption algorithms include Advanced Encryption Standard (AES), Rivest Cipher 4 (RC4), Data Encryption Standard (DES), Blowfish, TwoFish, RSA, Elliptic Curve Cryptography (ECC). ISM-1080"
ISM-1082,	What are some examples of policies related to mobile devices in organizations?,"Examples include password protection, data encryption, remote wipe capabilities, etc ISM-1082"
ISM-1082,What are some of the steps involved in developing a mobile device usage policy?,"The first step involves identifying the purpose of the policy. Next, it should be determined who will enforce the policy and how violations will be handled. Finally, the policy must be communicated clearly so employees understand what they can and cannot do with their devices. ISM-1082"
ISM-1082,What are some of the steps involved in developing a mobile device usage policy?,"The first step involves identifying the purpose of the policy. Next, it should be determined who will enforce the policy and how violations will be handled. Finally, the policy must be communicated clearly so all employees understand what is expected of them when using their devices for work purposes ISM-1082"
ISM-1085,	What are some examples of mobile device management policies?,"Some examples of mobile device management policies include password requirements, remote wipe capabilities, and restrictions on installing apps from untrusted sources ISM-1085"
